ds,yhat,yhat_lower,yhat_upper,distribution_center_id,inventory_item_id
2019-02-04,1.8606294292074388,0.4858117128859838,3.234216924108183,1,76203
2019-02-24,1.9960449147144006,0.5311167107169364,3.4444477018229978,1,429446
2019-02-27,1.8874673818512147,0.42648103191902254,3.1934493838872258,1,280341
2019-03-09,1.901044093242416,0.5248952855469243,3.2586072042661502,1,148802
2019-03-20,1.9059951013503476,0.6237228989140788,3.28461942082397,1,298202
2019-03-22,1.9656818584017164,0.6672741693281682,3.2777396321340375,1,433741
2019-03-24,2.002499081972475,0.6024934297235618,3.3130475821479095,1,253159
2019-03-28,1.9538758944819685,0.5882858240410319,3.319069517093083,1,253163
2019-04-03,1.8686262330091536,0.5544476882078728,3.337239142373043,1,100034
2019-04-05,1.9345808192783478,0.6919725434796682,3.3142364653922267,1,86732
2019-04-09,1.9648623512078494,0.595372015847224,3.351933034294485,1,254693
2019-04-12,1.9752788196090934,0.6957391121942191,3.392749724878869,1,383406
2019-04-14,2.0375703660674196,0.7353026583584018,3.4249981230475495,1,482080
2019-04-16,2.0291107546852056,0.6116333657107692,3.4056066564199927,1,431920
2019-04-20,1.9981097941761217,0.6373373756373688,3.2378873528498806,1,432245
2019-04-24,2.0235553052924757,0.7173387619235311,3.4633304414536785,1,134130
2019-04-25,2.1006616334853883,0.6845592622450928,3.4608943658820595,1,19822
2019-04-30,2.1073838422114637,0.8369544242615862,3.5418872056108546,1,21279
2019-05-01,2.026575617432904,0.6787725428583803,3.4623523852566924,1,336171
2019-05-09,2.034786346414076,0.6695031515201204,3.3534042191066815,1,16376
2019-05-15,1.908720556347208,0.49806393282257544,3.3164173149126626,1,16374
2019-05-28,1.958295249729073,0.5968826698559144,3.4018378318239977,1,177761
2019-06-03,1.9254685236661313,0.4743551930711245,3.2416293517532924,1,343873
2019-06-06,1.9506123963506834,0.5723128684916673,3.2618120758251217,1,6443
2019-06-10,1.9041252593943665,0.44721681684975234,3.2359011991264683,1,133618
2019-06-12,1.8509465902161781,0.5356100600627904,3.1812303338830668,1,484387
2019-06-20,1.8706496799259158,0.49133494672830047,3.24416777282121,1,372543
